ID,タイトル,著者,出版社,作成日,説明文
14,星界の報告,ガリレオ・ガリレイ,Project Gutenberg,2026/03/22,自作の望遠鏡を夜空に向け、月の表面の凹凸、無数の恒星、木星をめぐる四つの衛星を見つけて図に描く。観測の日付と位置を並べて報告した、望遠鏡による天文学の最初の記録。
15,天文対話,ガリレオ・ガリレイ,Project Gutenberg,2026/03/28,地球が動くとする説と、天が動くとする旧来の説を、三人の登場人物の議論として並べていく。船の上で物を落とす思考実験などを持ち出しながら、観測と論証で地動説を推し進めた対話篇。
16,天球の回転について,ニコラウス・コペルニクス,Project Gutenberg,2026/04/03,太陽を中心に置き、地球を惑星の一つとして回らせることで、惑星の見かけの逆行を無理なく説明する。円軌道と幾何学によって天体の運行を計算し直した天文学の書。
17,宇宙体系解説,ピエール・シモン・ラプラス,Project Gutenberg,2026/04/09,惑星や衛星の運行、潮汐、彗星の軌道を、万有引力の一つの原理から数式を使わずに語り通す。さらに太陽系が回転する星雲から生まれたという仮説を述べた天文学の概説。
18,地質学原理,チャールズ・ライエル,Project Gutenberg,2026/04/15,地層や谷は大災害ではなく、いま働いている風雨や川や火山の作用が長い時間積み重なってできたと論じる。現在観察できる過程から過去を読む立場を打ち出した地質学の書。
19,大衆天文学,カミーユ・フラマリオン,Project Gutenberg,2026/04/21,地球の自転から始めて、月、太陽、惑星、恒星、星雲へと順に視野を広げていく。数多くの図版と平明な語り口で宇宙の全体像を描いた天文学の読み物。
20,ユークリッド原論,エウクレイデス,Project Gutenberg,2026/04/27,点と線の定義といくつかの公準から出発し、作図と証明を順序立てて積み上げて、図形の性質や数の理論を導いていく。演繹によって体系を築くという方法そのものを示した数学の古典。
21,科学と仮説,アンリ・ポアンカレ,Project Gutenberg,2026/05/03,幾何学の公理や力学の法則は、観察から強いられたものでも恣意的なものでもなく、便利さによって選ばれた約束だと論じる。数と空間と経験の関係を問い直した科学論。
22,幾何学基礎論,ダーヴィト・ヒルベルト,Project Gutenberg,2026/05/09,点や直線を意味を与えない記号として扱い、公理の組み合わせだけから幾何学を組み立て直す。公理系が互いに矛盾せず、独立であることを検討した数学基礎論の書。
23,ノヴム・オルガヌム,フランシス・ベーコン,Project Gutenberg,2026/05/15,人が陥りやすい思い込みを類型に分けて数え上げ、そこから自由になるために、観察と実験を集めて段階的に一般命題へ上る道筋を説く。帰納による自然探究の手続きを構想した方法論の書。
24,方法序説,ルネ・デカルト,Project Gutenberg,2026/05/21,疑いうるものをすべて退けていき、疑っている自分の存在だけは疑えないという足場を見いだす。確実な知識を組み立てるための四つの規則を、自身の遍歴を語りながら示した哲学の書。
25,夢判断,ジークムント・フロイト,Project Gutenberg,2026/05/28,夢は無意味な像の連なりではなく、抑えこまれた願いが形を変えて現れたものだとして、自身と患者の夢を材料に解釈の手順を示す。圧縮や置き換えといった働きを取り出した精神分析の書。
26,精神分析入門,ジークムント・フロイト,Project Gutenberg,2026/06/03,言い間違いや失念といった日常のつまずきから話を始め、夢の解釈を経て、神経症の症状がどのように生じるかを説明していく。連続講義の形で理論の全体を順に説いた入門書。
27,心理学原理,ウィリアム・ジェームズ,Project Gutenberg,2026/06/10,習慣、注意、記憶、感情、自我といった心の働きを、脳の生理と内省の両面から扱う。意識を絶え間なく流れるものとして捉え、豊富な事例を引いて論じた心理学の大著。
28,看護覚え書,フローレンス・ナイチンゲール,Project Gutenberg,2026/06/17,換気、暖かさ、光、静けさ、食事、寝具の扱いなど、病人の回復を左右する生活の条件を一つずつ挙げて述べる。看護を経験ではなく観察にもとづく仕事として位置づけた実践の手引き。
29,国富論,アダム・スミス,Project Gutenberg,2026/06/24,分業が労働の生産力を高める仕組みから説き起こし、価格と賃金、資本の蓄積、貿易の政策までを論じる。各人が自分の利益を追う行動が全体の富をもたらすと説いた経済学の書。
30,人口論,トマス・ロバート・マルサス,Project Gutenberg,2026/07/01,人口は放っておけば食糧の増え方を超えて増加し、その差は貧困や疫病や飢饉によって埋められると論じる。人間の境遇が改善され続けるという期待に対して、数の制約から反論を組み立てた論考。
